index,Job_ title,Salary _estimate,Rating,Company _name,Job_state,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary,Max_ salary,Avg_Salary,Job
0,Sr Data Scientist,137 -171 ,3.1,"Healthfirst
3.1",NY,"New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154,Data Scientist
1,Data Scientist,137 -171 ,4.2,"ManTech
4.2",VA,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154,Data Scientist
2,Data Scientist,137 -171 ,3.8,"Analysis Group
3.8",MA,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Data Scientist
3,Data Scientist,137 -171 ,3.5,"INFICON
3.5",MA,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154,Data Scientist
4,Data Scientist,137 -171 ,2.9,"Affinity Solutions
2.9",NY,"New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,171,154,Data Scientist
5,Data Scientist,137 -171 ,4.2,"HG Insights
4.2",CA,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154,Data Scientist
6,Data Scientist / Machine Learning Expert,137 -171 ,3.9,"Novartis
3.9",MA,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154,Data Scientist
7,Data Scientist,137 -171 ,3.5,"iRobot
3.5",MA,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154,Data Scientist
8,Staff Data Scientist - Analytics,137 -171 ,4.4,"Intuit - Data
4.4",CA,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154,Data Scientist
9,Data Scientist,137 -171 ,3.6,"XSELL Technologies
3.6",IL,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154,Data Scientist
10,Data Scientist,137 -171 ,4.5,"Novetta
4.5",VA,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,171,154,Data Scientist
11,Data Scientist,137 -171 ,4.7,"1904labs
4.7",MO,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,171,154,Data Scientist
12,"Data Scientist - Statistics, Early Career",137 -171 ,3.7,"PNNL
3.7",WA,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154,Data Scientist
13,Data Modeler,137 -171 ,3.1,"Old World Industries
3.1",IL,"Northbrook, IL","Northbrook, IL",201 to 500 employees,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137,171,154,NA
